空天姬预设,5.1285.1285.20250924
不定鱼,耐心【赤虫】@0802-1200》！！》！！！=【不定鱼】；引诱；//预设分级：合格的
最后一滴泪,平钓【鲑鱼籽】》！！！@拍水！！【精金多鳍鱼】=【最后一滴泪】；引诱；//预设分级：有效的
解脱鱼,平钓【悬浮诱饵鱼】@（碧空）》！！！@拍水！！【石楠嘉鱼】=【解脱鱼】；//预设分级：有效的
黑蒙鱼,平钓【悬浮诱饵鱼】@1602-2000（阴云）》！！！@拍水！！【猛牛口食、窥视鱼】=【黑蒙鱼】；引诱；//预设分级：合格的
阿拉米格面纱鱼,平钓【悬浮诱饵鱼】》10.5+20~！！！精准@拍水！【阿拉米格缎带鱼】=【阿拉米格面纱鱼】；引诱；//预设分级：有效的
钻石眼,耐心【蚕蛹】@（碧空）》！！强力》！！！=【钻石眼】；//预设分级：有效的
苦尔鳗,平钓【蓝矶沙蚕】@0002-0800（阴云）》！！！@拍水！！【黑斑花蛇鳗】=【苦尔鳗】；不撒饵、引诱、收藏、不收集；//预设分级：有效的
菜食王,耐心【活虾】@2002-2400（打雷）》！》！！！=【菜食王】；//预设分级：有效的
七星,平钓【蓝矶沙蚕】@1002-1800（晴朗）》！！！@拍水！！【琉璃金枪鱼】=【七星】；引诱；//预设分级：合格的
春不知,平钓【蓝矶沙蚕】@1602-2000》！！！@拍水！！【迎春鱼】=【春不知】；引诱；//预设分级：有效的
大海蛇,耐心【活虾】@（微风）》！》！！！=【大海蛇】；//预设分级：有效的
万刺鲀,平钓【活虾】@1602-2400（打雷）》！！！@拍水~19！!【白姑鱼】=【万刺鲀】；//预设分级：有效的
速疾鬼鳄,耐心【活虾】@（打雷）》！》！！！=【速疾鬼鳄】；//预设分级：有效的
石榴海,平钓【肥蚯蚓】@（小雨）》！！！@拍水！！【多玛鳟】=【石榴海】；引诱；//预设分级：有效的
鬼视,平钓【悬浮诱饵鱼】@（碧空）》！！！@拍水！！【河红眼鲈】=【鬼视】；引诱；//预设分级：有效的
仙寿翁,平钓【嗡嗡石蝇】@2002-2400（碧空）》！！！@拍水！！【野鲤】=【仙寿翁】；//预设分级：有效的
车轴鱼,平钓【嗡嗡石蝇】@0002-0800（晴朗）》！！！@拍水！！【东洲巨骨舌鱼、长须鲶鱼】=【车轴鱼】；引诱；//预设分级：有效的
羽衣美人,平钓【嗡嗡石蝇】》！！！@拍水！！【长须鲶鱼】=【羽衣美人】；引诱；//预设分级：有效的
天女鲤,平钓【嗡嗡石蝇】@（薄雾）》！！！@拍水！！【东洲巨骨舌鱼】=【天女鲤】；引诱；//预设分级：有效的
一束彩虹,平钓【悬浮诱饵鱼】@1202-1600（薄雾）》！！！@拍水！！【多玛鳟】=【一束彩虹】；引诱；//预设分级：有效的
水天一碧,平钓【嗡嗡石蝇】@1602-2400（暴雨）》！！！@拍水！！【王室鲑】=【水天一碧】；引诱；//预设分级：有效的
卜传,平钓【嗡嗡石蝇】@1202-1400》！！！精准@拍水！【武士鱼】=【卜传】；引诱；//预设分级：合格的
菜叶跳鱼,平钓【赤虫】@0802-1200（碧空）》！！！精准@拍水！【嘎牙子、草跳鱼】=【菜叶跳鱼】；引诱；//预设分级：合格的
晨曦旗鱼,耐心【肥蚯蚓】@0002-0800》！》！！！=【晨曦旗鱼】；//预设分级：有效的
刀片跳鱼,平钓【悬浮诱饵鱼】@0402-0800》！！！@拍水！【枯草跳鱼】=【刀片跳鱼】；引诱；//预设分级：有效的
暮辉鱼,耐心【肥蚯蚓】@0802-1600（阴云）》！》！！！=【暮辉鱼】；//预设分级：有效的
神谕苦鱼,平钓【嗡嗡石蝇】@2002-2400》！！！精准@拍水！【暮晖蝲蛄、塔奥苦鱼】=【神谕苦鱼】；引诱；//预设分级：合格的
亚特可汗,平钓【嗡嗡石蝇】@（微风）》！！！精准@拍水！【亚特虾虎】=【亚特可汗】；引诱；//预设分级：有效的
月神的爱宠,平钓【悬浮诱饵鱼】@0402-0800（晴朗、碧空）》！！！@拍水！！【月神恩惠】=【月神的爱宠】；引诱；//预设分级：合格的
花海龙,耐心【金属亮片】》！@拍水【鳀鱼】》！！！=【花海龙】；//预设分级：最优化
赌命河豚,平钓【蓝矶沙蚕】》！！！@拍水！！【琉璃金枪鱼】=【赌命河豚】；引诱；//预设分级：合格的
公主青鳉,平钓【肥蚯蚓】@0402-0600》！！！精准@拍水！【黄铜鱼】=【公主青鳉】；引诱；//预设分级：合格的
5.0,45//预设分级：非预设
利斯塔克鲨,平钓【虫箱】@1602-2400（阴云、薄雾）》~14.6+27！！！@拍水~20+38！！【白化雀鳝】《《【不朽巨鱼】=1【不朽巨鱼】；引诱；=》阶段@大鱼【虫箱】@1602-2400（薄雾）》~14.6+27！！！@拍水~20+38！！【白化雀鳝】》！！！=【利斯塔克鲨】；引诱；《//预设分级：合格的
自走鱼偶,平钓【乌贼丝】》（！！！）19.5~！@拍水！【南珂露西亚鳕鱼、珂露西亚鲽鱼】@专一【变形鱼】=5【变形鱼】；=》阶段@平钓【乌贼丝】@1002-1400（强风）》！！！精准@拍水~20！【南珂露西亚鳕鱼、珂露西亚鲽鱼】=》鱼识@平钓【短嘴诱饵鱼】@1002-1600》！！！@拍水！！【血色气球鱼】=【自走鱼偶】；引诱；《//预设分级：有效的
惊喜蛋,平钓【沙漠蛙】@2358-0200》~5.5+10！@专一【沙卵】=10【沙卵】；不撒饵；=》鱼识@平钓@2358-0200》~10+18！！！精准@拍水！【沙卵、比朗螃蟹、沙遁鱼】=【惊喜蛋】；重随；//预设分级：合格的
镜中蝶,平钓【虫箱】@2332-0000（碧空）》~7.6+13！！！精准@拍水~11+20！【青蓝鳅】=【镜中蝶】；重随；//预设分级：合格的
隆卡的大水蛇？,耐心【盗蟹丸】@1002-1200》~6.1+11.1！》！！》！！！》！！！=【33243】；重随；//预设分级：最优化
长吻帆蜥鱼,平钓【短嘴诱饵鱼】@2202-0000》！！！@拍水9.5+17.5~！！【卡利班骨头鱼】=》鱼识@平钓【乌贼丝】@0002-0200》！！！@拍水10+21~！！【卡利班骨头鱼】=【长吻帆蜥鱼】；//预设分级：合格的
三艺之星,平钓【大理石幼虫】@2202-0000（碧空）》！！！精准@拍水！【爱人之花】=【三艺之星】；引诱；//预设分级：合格的
散罪鱼,平钓【水果蠕虫】@2202-2400（碧空、晴朗）》！！！精准@拍水！【吐罪鱼】=【散罪鱼】；引诱；//预设分级：有效的
悬挂脂鲤,平钓【虫箱】@1802-2200》！！！精准@拍水！【水晶都脂鲤、骸骨鱼】=【悬挂脂鲤】；引诱；//预设分级：合格的
贵妇蝴蝶鱼,平钓【乌贼丝】@1202-1900（碧空）》！！！@拍水！【赤色海蜘蛛】=【贵妇蝴蝶鱼】；//预设分级：有效的
食人鳄,平钓【虫箱】@（碧空、晴朗）》！！！@拍水！！【白化鳄】=【食人鳄】；引诱；//预设分级：有效的
月光虹鳉,平钓【虫箱】@0602-0800（晴朗）》！！！@拍水！【水球鱼、紫角蜗牛、硬糖藻】=【月光虹鳉】；//预设分级：有效的
重罪石软蟹,平钓【虫箱】@（薄雾）》！！！@拍水！【硬糖藻、净碟鱼】=【重罪石软蟹】；引诱；//预设分级：有效的
蟒斑盘丽鱼,平钓【水果蠕虫】@（雷雨）》！！！@拍水~8+14.5！【硬糖藻】=【蟒斑盘丽鱼】；//预设分级：合格的
不朽巨鱼,平钓【虫箱】@1602-2400（阴云、薄雾）》~14.6+27！！！@拍水~20+38！！【白化雀鳝】=【不朽巨鱼】；引诱；//预设分级：合格的
哲罗鲑,平钓【虫箱】》！！！@拍水！！【哲罗鱼】=【哲罗鲑】；引诱；//预设分级：合格的
元首的军扇,平钓【大理石幼虫】@（薄雾）》！！！@拍水！【沃茨鳟】=【元首的军扇】；//预设分级：有效的
白色隆索,平钓【虫箱】@0002-0200》！！！@拍水！【斑纹鲶】=【白色隆索】；//预设分级：合格的
铜褐鳎,平钓【大理石幼虫】@（小雨）》！！！@拍水！【食骨虾】=【铜褐鳎】；引诱；//预设分级：有效的
钢刀鱼,平钓【藻虾】@0602-0800》~5.5+9.5！！！@拍水~8+14！【南珂露西亚鳕鱼、珂露西亚鲽鱼】=【钢刀鱼】；//预设分级：合格的
变影鱼,平钓【乌贼丝】@1002-1400（强风）》！！！精准@拍水~20！【南珂露西亚鳕鱼、珂露西亚鲽鱼】=【变影鱼】；//预设分级：合格的
战盾剑齿龙鳖,大鱼【短嘴诱饵鱼】@2202-2400》8+16~15+29！@拍水【枯叶海龙、南珂露西亚鳕鱼】》！！！=【战盾剑齿龙鳖】；//预设分级：有效的
冠骨鱼,耐心【力山羊肉干】@0002-0600》！！》！！+！！！=【冠骨鱼】；引诱、套娃；//预设分级：合格的
拿巴示锯,耐心【力山羊肉干】@0602-1000（热浪）》！！！@拍水！！【角骨鱼】【沙漠锯】》！！！=【拿巴示锯】；套娃、引诱；//预设分级：合格的
刺钉蜥蜴,耐心【沙漠蛙】@1202-1600（碧空）》5.8+10~11.1+20.6！@拍水！【沙遁鱼】》！！！=【刺钉蜥蜴】；//预设分级：最优化
阔面鱼,平钓【大理石幼虫】@0602-0759（小雨）》！！！@拍水！【灰跳鱼】=【阔面鱼】；引诱；//预设分级：有效的
狂怒斗鱼,平钓【虫箱】@2002-2400（碧空、晴朗）》！！！@拍水~11+20！【青蓝鳅】=【狂怒斗鱼】；//预设分级：有效的
深泳的古书,平钓【大理石幼虫】@1202-1600（雷雨）》！！！@拍水！【斑点攀鲈】=【深泳的古书】；//预设分级：合格的
仙子彩虹鳉,平钓【大理石幼虫】@（薄雾）》~6.5+12！！！@拍水！【青蓝鳅】=【仙子彩虹鳉】；重随；//预设分级：有效的
达穆伦樱桃鲱鱼,平钓【虫箱】》！！！@拍水~11+20！【青蓝鳅】=【达穆伦樱桃鲱鱼】；//预设分级：合格的
黄金雕金匠,平钓【虫箱】@（碧空）》！！！精准@拍水！【灰跳鱼】=【黄金雕金匠】；//预设分级：合格的
顶天眼,平钓【虫箱】@0702-1700（碧空）》！！！@拍水！【灰跳鱼】=【顶天眼】；//预设分级：合格的
洛克瓦卫兵,耐心【盗蟹丸】@1002-1200》~6.1+11.1！》！！》！！！=【洛克瓦卫兵】；//预设分级：合格的
珍珠皮皮拉鱼,耐心【虫箱】@1702-2000（薄雾）》~9+16.5！！【钻石皮皮拉鱼】》！！！+！！=【珍珠皮皮拉鱼】；套娃、引诱；//预设分级：合格的
黑色喷气乱流,平钓【盗蟹丸】@0202-1200（碧空、晴朗）》！！！精准@拍水~14.5！【黄色皮皮拉鱼】=黑色喷气乱流；//预设分级：合格的
书记官杀手,平钓【虫箱】@1802-2400》~7.5+12！！！@拍水！【黄色皮皮拉鱼】=【书记官杀手】；//预设分级：合格的
底暗鱼,平钓【虫箱】@0202-0600（薄雾）》！！！精准@拍水12.5+25~！【永暗鱼】=【底暗鱼】；引诱；//预设分级：合格的
金色皮皮拉鱼,平钓【盗蟹丸】@0602-0700》~8+13.5！！！@拍水！【黄色皮皮拉鱼】=【金色皮皮拉鱼】；引诱；//预设分级：合格的
鳍人叹息,平钓【乌贼丝】@1202-1400（碧空、晴朗）》！！！精准@拍水！【巨型鮟鱇】=【鳍人叹息】；引诱；//预设分级：有效的
鳍人之敌,平钓【乌贼丝】@0802-1000》！！！@拍水10+21~！！【卡利班骨头鱼】=【鳍人之敌】；引诱；//预设分级：有效的
奸隐鱼,平钓【短嘴诱饵鱼】@2202-2400（晴朗）》！！！@拍水9.5+17.5~！！【卡利班骨头鱼】=【奸隐鱼】；//预设分级：合格的
绒毛海神虾,耐心【金属亮片】@1602-2000（阴云）》！》！！！精准=【绒毛海神虾】；引诱；//预设分级：合格的
头领薄饼章鱼,平钓【乌贼丝】@0002-0300》！！！精准@拍水！【薄饼章鱼】=【头领薄饼章鱼】；引诱；//预设分级：合格的
猎星鱼,平钓【乌贼丝】@0602-1000（阴云）》！！！精准@拍水！【青色海蜘蛛】=【猎星鱼】；引诱；//预设分级：有效的
蛋白石虾,平钓【乌贼丝】@1802-2000》！！！精准@拍水！【青色海蜘蛛】=【蛋白石虾】；引诱；//预设分级：合格的
6.0,40//预设分级：非预设
餐叉尾,平钓【天空勺形鱼饵】@1532-1630（灵风）》！！！精准@拍水~6+11！【岛屿跳鱼】=【餐叉尾】；引诱；//预设分级：合格的
优雅兔耳,平钓【奇美拉蠕虫】@0802-1000（晴朗）》~7+13.3！！！@拍水！！+！【魇鱼、紫鱼】=【优雅兔耳】；引诱；//预设分级：有效的
嘎儿鱼,¤{storage:MissFisherGetTransla……//预设分级：非预设
异形雪棘,平钓【蜉蝣】@1558-0000》8+15~！！@拍水【艾布拉纳鳟、冰原狗鱼】@专一【青磷核】双提=3【青磷核】；多提；=》鱼识@平钓@1602-0000》！！！@拍水【青磷核】=【异形雪棘】；引诱；//预设分级：合格的
潜龙,耐心【蜉蝣】》！！@拍水【鲴鱼】《《【以太螯虾】=2【以太螯虾】；套娃；=》阶段@耐心@0902-1200》！！@拍水【鲴鱼】》~20！！=套娃；《=》鱼识@耐心【蜉蝣】@0902-1200》！！@拍水【鲴鱼】》（！！！）~20！！=【潜龙】；套娃；//¤{storage:MissFisherGetTranslationByIndex( 预设备注潜龙 , 0${pd:空天姬配置[界面语言]} )}//预设分级：有效的
星鲸,¤{storage:MissFisherGetTransla……//预设分级：非预设
电吉他鱼,平钓【青花鱼块】@2002-2400》！！！@拍水！！【钴铁光鳃鱼】=【电吉他鱼】；引诱；//预设分级：合格的
巨剑锯盖鱼,平钓【蜉蝣】@1602-2000》！！！@拍水13~！！【剑脊锯盖鱼】=【巨剑锯盖鱼】；//预设分级：合格的
万虑鱼,平钓【蜉蝣】@0802-1400》！！！@拍水！【涌潮大丽花】=【万虑鱼】；//预设分级：合格的
巨身锯盖鱼,平钓【蜉蝣】@1802-2200》！！！@拍水！！【宽身锯盖鱼、小方砖丽鱼】=【巨身锯盖鱼】；引诱；//预设分级：有效的
苔绿鳃鲑,平钓【天空勺形鱼饵】@（小雨）》！！！@拍水！！【鲴鱼】=【苔绿鳃鲑】；引诱；//预设分级：有效的
潜底弓鳍鱼,平钓【天空勺形鱼饵】@0802-1600（阴云）》！！！@拍水！！【长嘴鱲】=【潜底弓鳍鱼】；引诱；//预设分级：合格的
黑玛瑙刀背鱼,平钓【蜉蝣】@2202-0200（晴朗）》！！！@拍水！！【玄铁刀背鱼】=【黑玛瑙刀背鱼】；引诱；//预设分级：合格的
环间罗非鱼,耐心【蜉蝣】@0802-1200》！！@拍水【鲴鱼】》（！！！）~20！！=【环间罗非鱼】；套娃；//预设分级：合格的
捂耳太阳鱼,平钓【蜉蝣】@0402-0800》~13+24！！！@拍水~10.9+20！！【长耳太阳鱼】=【捂耳太阳鱼】；重随；//预设分级：合格的
郁金香蟹,平钓【虾肉丸子】@（薄雾）》！！！@拍水~20！！【玫瑰蟹】=【郁金香蟹】；引诱；//预设分级：合格的
杜蒂娜鱼,大鱼【虾肉丸子】@0002-0400（碧空）》~10.5+19.5！！@拍水【婚宴娟纱】@专一【暗影沙丁鱼】【暗影沙丁鱼】》！！！=【杜蒂娜鱼】；引诱、不撒饵；//预设分级：合格的
雷云隆头鱼,平钓【虾肉丸子】@2002-2400》！！！@拍水~17！【萨维奈虾虎】=【雷云隆头鱼】；引诱；//预设分级：合格的
河马蛙,平钓【蜉蝣】@（暴雨）》~14.5+27.5！！！@拍水！！【魔象蛙、蓝鳃太阳鱼】=【河马蛙】；引诱；//预设分级：合格的
塔门监兵,平钓【医蛭】@（阴云）》！！！@拍水！！【饮乳鱼】=【塔门监兵】；引诱；//预设分级：合格的
巨吻脂鲤,平钓【天空勺形鱼饵】@0802-1600》！！！@拍水~22！！【饮乳鱼】=【巨吻脂鲤】；引诱；//预设分级：合格的
棕香蕉鳗鱼,平钓【蜉蝣】@2202-0200（小雨）》~8+11！！！@拍水~13.5+25.5！！【拉札巴里克鱼】=【棕香蕉鳗鱼】；引诱；//预设分级：合格的
摩耶鳄,平钓【蜉蝣】@0402-0800（晴朗）》10+18.5~！！@拍水【拉札巴里克鱼】@专一【萨维奈鳄】双提=5【萨维奈鳄】；多提；=》鱼识@平钓@0402-0800（晴朗）》！！！@拍水~13+25.5！！【拉札巴里克鱼】=【摩耶鳄】；引诱；//预设分级：有效的
首领矛齿鲸,耐心【青花鱼块】@（晴朗）》6.1+10.3~！》！！！》！！！=【首领矛齿鲸】；引诱、套娃、不撒饵；//预设分级：合格的
雾凇狗鱼,耐心【蜉蝣】@（小雪）》8+15~！！@拍水【冰原狗鱼】》！！！=【雾凇狗鱼】；引诱、不撒饵；//预设分级：合格的
暗影帝冠,平钓【蜉蝣】@0202-0800》！！！@拍水8+15~！！【蓝尾鲶】=【暗影帝冠】；引诱；//预设分级：合格的
仿制巨骨舌鱼,平钓【蜉蝣】@0002-0200》！！！@拍水！！【复制巨骨舌鱼】=【仿制巨骨舌鱼】；引诱；//预设分级：合格的
荧光死亡蠕虫,耐心【奇美拉蠕虫】@0202-0800（月尘）》！》！！！=【荧光死亡蠕虫】；引诱、不撒饵；//预设分级：合格的
冰月壤龟,平钓【奇美拉蠕虫】@1002-1300（灵风）》！！！@拍水~5.5+10！！【魇鱼】=【冰月壤龟】；引诱；//预设分级：合格的
噬炎者,平钓【奇美拉蠕虫】@1202-2000（灵风）》！！！@拍水！！【吞星鱼】=【噬炎者】；引诱；//预设分级：合格的
佛恩·阿穆,平钓【奇美拉蠕虫】@1002-1400（灵风）》！！！@拍水！！【吞星鱼】=【佛恩·阿穆】；引诱；//预设分级：合格的
宇宙雾霾,大鱼【奇美拉蠕虫】@2002-0400（磁暴）》8.5+15~16.5+28！！@拍水【宇宙噪声】》！！！=【宇宙雾霾】；//预设分级：合格的
破军尾,平钓【蜉蝣】@0202-0400》！！！@拍水！！【镜鱼】=【破军尾】；引诱；//预设分级：合格的
运行星,平钓【蜉蝣】@1802-2200》！！！@拍水！！【镜鱼】=【运行星】；引诱；//预设分级：合格的
骇惊威,平钓【星尘】@0802-1200》~15+27！！！@拍水！！【二十四足文明人】=【骇惊威】；引诱；//预设分级：合格的
阿耳戈雄英,平钓【星尘】@0202-0400》！！！@拍水！！【三叉神海兽】=【阿耳戈雄英】；引诱；//预设分级：合格的
额外维度实体-852738,平钓【星尘】@1202-1600（灵风）》！！！@拍水【不明飞行物II】=【41406】；//预设分级：合格的
水中辉星,耐心【蜉蝣】@（灵风）》5+7~9+17！@拍水【岛屿跳鱼】》！！！=【水中辉星】；引诱；//预设分级：合格的
金光皮颏鱵,平钓【天空勺形鱼饵】@2002-2200》！！！精准@拍水！【岛屿跳鱼】=【金光皮颏鱵】；引诱；//预设分级：合格的
大丽花冠鮨,平钓【蜉蝣】@0402-1000（碧空）》！！！精准@拍水！【岛屿跳鱼】=【大丽花冠鮨】；引诱；//预设分级：合格的
7.0,16//预设分级：非预设
财神蛙,平钓【红蛆】@（薄雾）》！！！精准@拍水！【食蚊鱼】=【财神蛙】；//预设分级：有效的
抓月虾,平钓【白蠕虫】@1202-1400》！！！精准@拍水~12！【海羊驼】=【抓月虾】；鱼影、不撒饵；//预设分级：有效的
锅盖蟹,平钓【红蛆】@1602-2000（阴云、薄雾）》！！！@拍水！！【水没睡鱼】=【锅盖蟹】；引诱、不撒饵；//预设分级：有效的
星尘睡鱼,耐心【幽灵钳】@2002-0000》~8+12！@拍水【乌托姆提卡】》~9.5+15！+！！》！！！=【星尘睡鱼】；套娃、不撒饵、重随；//预设分级：有效的
余痕丽鱼,平钓【红蛆】@（碧空）》！！！@拍水！！【钓神基富丽鱼】=【余痕丽鱼】；引诱、不撒饵；//预设分级：有效的
像素鳅,平钓【红蛆】@0002-0400》！！！@拍水！！【清洁方案】=【像素鳅】；引诱、不撒饵；//预设分级：有效的
灰达尤南丽鱼,平钓【红蛆】@0402-0800（晴朗、碧空）》！！！@拍水！！【夏劳尼鲑鱼】=【灰达尤南丽鱼】；引诱；//预设分级：有效的
雷流鳟,平钓【红蛆】@0902-1100》！！！@拍水！！【黑莓鲈】=【雷流鳟】；鱼影、不撒饵；//预设分级：有效的
屋底镰鳍鲳鲹,平钓【幽灵钳】@0502-0700》！！！@拍水！！【镰鳍鲳鲹】=【屋底镰鳍鲳鲹】；引诱；//预设分级：有效的
麻瘩玛塔蛇颈龟,大鱼【红蛆】@1202-1400（碧空）》！@拍水【克扎玛乌跳鱼】》！！！=【麻瘩玛塔蛇颈龟】；引诱；//预设分级：有效的
长河牙签鱼,平钓【红蛆】@0002-0400（阴云）》！！！@拍水！！【牙签鱼】=【长河牙签鱼】；引诱；//预设分级：有效的
海心枯叶,平钓【红蛆】@1002-1200》！！！@拍水！！【红豹帆鳍鱼】=【海心枯叶】；引诱；//预设分级：有效的
咬鹃杀手,平钓【红蛆】@（阴云、薄雾）》！！！@拍水！！【镜鲤】=【咬鹃杀手】；引诱；//预设分级：有效的
得卡特,大鱼【红蛆】@2002-0000（扬沙）》~20.5！！@拍水【旅迹鳟】@专一【尼葵瑞皮鳟】【尼葵瑞皮鳟】》！！！=【得卡特】；不撒饵、引诱；//预设分级：有效的
雷光鲽鱼,平钓【红蛆】@（小雨）》！！！@拍水！！【亚斯拉尼弓鳍鱼】=【雷光鲽鱼】；引诱；//预设分级：有效的
滑稽女王,平钓【红蛆】@1602-1800（晴朗）》！！！@拍水！！【滑稽鲶鱼】=【滑稽女王】；鱼影、不撒饵；//预设分级：有效的
深奥的代言人,平钓【红蛆】@1202-1600（薄雾）》！！！@拍水！！【半饱鳟】=【深奥的代言人】；引诱、不撒饵；//预设分级：合格的
船路矛丽鱼,平钓【红蛆】@0602-0800（小雨）》！！！@拍水！！【矛丽鱼】=【船路矛丽鱼】；鱼影、不撒饵；//预设分级：合格的
铁黑骨舌鱼,平钓【红蛆】@1602-1800（小雨）》！！！@拍水！！【亚克特尔蝾螈】=【铁黑骨舌鱼】；//预设分级：合格的
王亲钝口螈,耐心【黄金幼虫】@0002-0400（阴云）》~16.5！@拍水【白烬龙虾】【云空鱼】》！！！=【王亲钝口螈】；引诱；//预设分级：合格的
苍天鱿鱼,平钓【蜻蜓】@1802-2400（强风）》~25.5！！！精准@拍水！【佐戈之核】=【苍天鱿鱼】；引诱；//预设分级：合格的
南瓜芽太阳鱼,平钓【红蛆】@2002-2400（雷雨）》！！！@拍水！！【瓜仁太阳鱼】=【南瓜芽太阳鱼】；引诱、不撒饵；//预设分级：合格的
巨蛇头鳢,平钓【红蛆】@0358-0600（小雨）》！@专一【骑士虾虎】=3【骑士虾虎】；不撒饵、引诱；=》鱼识@平钓@0358-0600（小雨）》！！！@拍水！！【蛇头鳢】=【巨蛇头鳢】；引诱；//预设分级：合格的
凤尾鲯鲭,平钓【幽灵钳】@0802-1200（晴朗）》！！！@拍水！！【蝴蝶鳐、运河鼓】=【凤尾鲯鲭】；引诱；//预设分级：合格的
批量生成,882//预设分级：非预设
星里海带,平钓【沙蚕】》！=【星里海带】；引诱；//预设分级：批量生成
蝲蛄,平钓【蛾蛹】》！=【蝲蛄】；引诱；//预设分级：批量生成
鲢鱼,平钓【蛾蛹】》！=【鲢鱼】；引诱；//预设分级：批量生成
梅尔托尔虾虎,平钓【沙蚕】》！=【梅尔托尔虾虎】；引诱；//预设分级：批量生成
罗敏萨鳀鱼,平钓【沙蚕】》！=【罗敏萨鳀鱼】；引诱；//预设分级：批量生成
斑纹虾虎,平钓【蛾蛹】》！=【斑纹虾虎】；引诱；//预设分级：批量生成
小鲶鱼,平钓【蛾蛹】》！=【小鲶鱼】；引诱；//预设分级：批量生成
手指虾,平钓【沙蚕】》！=【手指虾】；引诱；//预设分级：批量生成
骨蝲蛄,平钓【蛾蛹】》！=【骨蝲蛄】；引诱；//预设分级：批量生成
白珊瑚,平钓【潮虫】》！=【白珊瑚】；引诱；//预设分级：批量生成
公主鳟,平钓【蝲蛄丸子】》！=【公主鳟】；引诱；//预设分级：批量生成
海云水母,平钓【潮虫】》！=【海云水母】；引诱；//预设分级：批量生成
幽暗虾虎,平钓【蝲蛄丸子】》！=【幽暗虾虎】；引诱；//预设分级：批量生成
藤皮海参,平钓【虾虎丸子】》！=【藤皮海参】；引诱；//预设分级：批量生成
海港鲱,平钓【潮虫】》！！=【海港鲱】；引诱；//预设分级：批量生成
皮皮拉鱼,平钓【蝲蛄丸子】》！=【皮皮拉鱼】；引诱；//预设分级：批量生成
红蝲蛄,平钓【蝲蛄丸子】》！=【红蝲蛄】；引诱；//预设分级：批量生成
比阿纳可蛤蜊,平钓【极地磷虾】》！=【比阿纳可蛤蜊】；引诱；//预设分级：批量生成
潜沙鱼,平钓【蝲蛄丸子】》！=【潜沙鱼】；引诱；//预设分级：批量生成
珊瑚蝶,平钓【潮虫】》！！=【珊瑚蝶】；引诱；//预设分级：批量生成
黄铜泥鳅,平钓【雉鸡拟饵】》！=【黄铜泥鳅】；引诱；//预设分级：批量生成
莫拉比鲽鱼,平钓【弓角】》！！=【莫拉比鲽鱼】；引诱；//预设分级：批量生成
白妙鲤,平钓【血蚯蚓】》！！=【白妙鲤】；引诱；//预设分级：批量生成
阿巴拉提亚公鱼,平钓【残暴水蛭】》！=【阿巴拉提亚公鱼】；引诱；//预设分级：合格的
盲鱼,平钓【花蝇】》！=【盲鱼】；引诱；//预设分级：批量生成
石软蟹,平钓【弓角】》！=【石软蟹】；引诱；//预设分级：批量生成
弹涂鱼,平钓【摇蚊】》！=【弹涂鱼】；引诱；//预设分级：批量生成
虹鳟鱼,平钓【毛球拟饵】》！！=【虹鳟鱼】；引诱；//预设分级：批量生成
河蟹,平钓【血蚯蚓】》！=【河蟹】；引诱；//预设分级：批量生成
虎纹鳕,平钓【沟鼠尾巴】》！！=【虎纹鳕】；引诱；//预设分级：批量生成
斗鱼,平钓【摇蚊】》！=【斗鱼】；引诱；//预设分级：批量生成
钢盔鲎,平钓【沟鼠尾巴】》！=【钢盔鲎】；引诱；//预设分级：批量生成
仙女鲈,平钓【摇蚊】》！！=【仙女鲈】；引诱；//预设分级：批量生成
橡果蜗牛,平钓【摇蚊】》！=【橡果蜗牛】；引诱；//预设分级：批量生成
罗斯利特牡蛎,平钓【沟鼠尾巴】》！=【罗斯利特牡蛎】；引诱；//预设分级：批量生成
暗塘鳢,平钓【摇蚊】@1502-1000》！=【暗塘鳢】；引诱；//预设分级：批量生成
拉诺西亚刺鱼,平钓【漂浮诱饵鱼】》！！=【拉诺西亚刺鱼】；引诱；//预设分级：批量生成
海神刀,平钓【弓角】》！！=【海神刀】；引诱；//预设分级：批量生成
沟鲫鱼,平钓【乌鸦拟饵】》！=【沟鲫鱼】；引诱；//预设分级：批量生成
神仙鱼,平钓【铁板钩】》！！=【神仙鱼】；引诱；//预设分级：批量生成
铜鱼,平钓【黄油虫】》！=【铜鱼】；引诱；//预设分级：批量生成
蓝铃鲑,平钓【漂浮诱饵鱼】》！！=【蓝铃鲑】；引诱；//预设分级：批量生成
折刀贝,平钓【沟鼠尾巴】》！=【折刀贝】；引诱；//预设分级：批量生成
泥软蟹,平钓【蜜虫】》！=【泥软蟹】；引诱；//预设分级：批量生成
蓝章鱼,大鱼【潮虫】》！！【海港鲱】》！！=【蓝章鱼】；引诱、不撒饵；//预设分级：合格的
三色鲤,平钓【黄油虫】》！！=【三色鲤】；引诱；//预设分级：批量生成
深红蝲蛄,大鱼【黄油虫】》！【铜鱼】》！=【深红蝲蛄】；不撒饵、引诱；//预设分级：合格的
翡翠鳗,平钓【黄油虫】@1702-1000》！！=【翡翠鳗】；引诱；//预设分级：批量生成
海毒鲀,平钓【极地磷虾】》！！=【海毒鲀】；引诱；//预设分级：批量生成
圆蚌,平钓【黄油虫】》！=【圆蚌】；引诱；//预设分级：批量生成
